English,ASL Gloss
XXXXX 's Tshirt is blue,XXXXX HIS T-SHIRT BLUE
XXXXX 's socks are green,XXXXX HIS SOCKS WHAT COLOR GREEN
 XXXXX 's belt is brown,XXXXX HER BELT BROWN
XXXXX 's shorts are white,XXXXX HER SHORTS WHAT COLOR WHITE
XXXXX 's coat is tan,XXXXX HIS COAT TAN
XXXXX 's gloves are black,XXXXX HIS GLOVES WHAT COLOR BLACK
XXXXX 's dress is purple,XXXXX HER DRESS PURPLE
XXXXX 's shirt is yellow,XXXXX HIS SHIRT WHAT COLOR YELLOW
XXXXX 's pants are gray,XXXXX HER PANTS GRAY
I have 10 black coats,10 BLACK COATS ME HAVE
I have 2 red dresses,2 RED DRESSES ME HAVE
I have 4 orange hats,4 ORANGE HATS ME HAVE
I have 7 tan pants,7 TAN PANTS ME HAVE
I have 5 purple ties,5 PURPLE TIES ME HAVE
I have 6 brown shoes,6 BROWN SHOES ME HAVE
My husband XXXXX does not like to exercise,EXERCISE MY HUSBAND XXXXX DOESN'T LIKE
Uncle XXXXX hates to lose,LOSE UNCLE XXXXX HATES
I will play tennis at 8 am,TIME 8 AM TENNIS ME PLAY
My three favorite sports are skiing ice skating and roller skating,MY 3 FAVORITE SPORTS WHAT SKIING ICE SKATING ROLLER SKATING
Chad likes to play soccer and tennis,SOCCER TENNIS CHAD LIKES PLAY
My best friend beat me in ping pong,PING PONG MY BEST FRIEND BEAT-ME
My mom's favorite sport is golf,GOLF MY MOM FAVORITE SPORT
Yesterday XXXXX played basketball and won,YESTERDAY BASKETBALL XXXXX PLAY WON
My parents love to roller skate,ROLLER SKATE MY PARENTS LOVE
Today I will go bowling at 6 pm,TODAY TIME 6 PM ME BOWLING
I play volleyball tomorrow at 4 pm,TOMORROW TIME 4 PM VOLLEYBALL PLAY
XXXXX loves gymnastics,GYMNASTICS XXXXX LOVES
XXXXX loves running,RUNNING XXXXX LOVES
New Year's Eve is Saturday December 31,NEW YEAR'S EVE WHEN SATURDAY DECEMBER 31
New Year's Day is Sunday January 1st,NEW YEAR'S DAY WHEN SUNDAY JANUARY 1ST
President's Day is Thursday February 18,PRESIDENT'S DAY WHEN THURSDAY FEBRUARY 18
Flag Day is June 14,FLAG DAY WHEN JUNE 14
Good Friday is Friday March 21,GOOD FRIDAY WHEN FRIDAY MARCH 21
Easter is Sunday April 17,EASTER WHEN SUNDAY APRIL 17
Mother's Day is Sunday May 11,MOTHER'S DAY WHEN SUNDAY MAY 11
Memorial Day is Monday May 26,MEMORIAL DAY WHEN MONDAY MAY 26
Father's Day is Sunday June 15,FATHER'S DAY WHEN SUNDAY JUNE 15
Labor Day is Monday September 1st,LABOR DAY WHEN MONDAY SEPTEMBER 1ST
Halloween is Friday October 31,HALLOWEEN WHEN FRIDAY OCTOBER 31
Election Day is Tuesday November 4th,ELECTION DAY WHEN TUESDAY NOVEMBER 4th
Thanksgiving is Thursday November 20,THANKSGIVING WHEN THURSDAY NOVEMBER 20
Hanukkah is Sunday December 21,HANUKKAH WHEN SUNDAY DECEMBER 21
Christmas is Wednesday December 25,CHRISTMAS WHEN WEDNESDAY DECEMBER 25
My best friend Maggie's favorite holiday is Valentine's Day,VALENTINE'S DAY MY BEST FRIEND XXXXX HER FAVORITE HOLIDAY
This year I went on vacation to New York,THIS YEAR ME WENT VACATION WHERE NEW YORK
Valentine's Day is in February and St Patrick's Day is in March,VALENTINE'S DAY FEBRUARY ST PATRICK'S DAY MARCH
At Easter I ate ham salad corn on the cob and cookies,EASTER ME ATE WHAT SALAD CORN ON THE COB HAM COOKIES
My uncle Jacob died on Christmas Day,CHRISTMAS DAY MY UNCLE JACOB DIED
My brother ate 6 hamburgers on July 4th,JULY 4th MY BROTHER EAT WHAT 6 HAMBURGERS
My grandfather's favorite holiday is Memorial Day,MEMORIAL DAY MY GRANDFATHER FAVORITE HOLIDAY
My son's favorite holiday is Halloween,HALLOWEEN MY SON FAVORITE HOLIDAY
My cousin's favorite holiday is Thanksgiving,THANKSGIVING MY COUSIN FAVORITE HOLIDAY
The colors in the rainbow are red orange yellow green blue and purple,RAINBOW COLORS WHAT RED ORANGE YELLOW GREEN BLUE PURPLE
Is it sunny or cloudy today,TODAY SUNNY CLOUDY WHICH
February has bad weather all month,MONTH FEBRUARY BAD WEATHER
In Texas it is raining all week,ALL WEEK TEXAS RAIN
It has been snowing for 3 days in New York,3 DAYS HEAVY SNOW WHERE NEW YORK
48 people died from lightning in 2006,YEAR 2006 48 PEOPLE DIED HOW LIGHTNING
The wind made the trees fall,TREES FALL HOW WIND
My house flooded yesterday,YESTERDAY MY HOUSE FLOOD
There was an earthquake today in California,TODAY EARTHQUAKE WHERE CALIFORNIA
Tomorrow the temperature will be 98 degrees,TOMORROW TEMPERATURE WHAT 98
July and August are hot months in Arizona,MONTH JULY MONTH AUGUST ARIZONA HOT
In Georgia 40 degrees is cold,GEORGIA 40 DEGREES COLD
My dog is afraid of thunder and lightning,THUNDER LIGHTNING MY DOG AFRAID
Dorothy lives in Kansas and is afraid of tornados,KANSAS DOROTHY LIVE TORNADOS SHE AFRAID
A good warm temperature is 82 degrees,GOOD TEMPERATURE WHAT 82 WARM
Lake Michigan is frozen with ice,LAKE MICHIGAN FROZEN ICE
It is hard to see in the car because of the fog,CAR SEE BAD FOG
There is a 100% chance of rain today,100 PERCENT RAIN TODAY
Today the weather is sunny,WEATHER TODAY WHAT SUNNY
Today the weather is snowy,WEATHER TODAY WHAT SNOW
Today the weather is foggy,WEATHER TODAY WHAT FOG
Today the weather is rainy,WEATHER TODAY WHAT RAIN
Today the weather is sleeting,WEATHER TODAY WHAT SLEET
Today the weather is a 50% chance of rain,WEATHER TODAY WHAT 50 PERCENT RAIN
Today the weather is a 30% chance of snow,WEATHER TODAY WHAT 30 PERCENT SNOW
Today the weather is a 20% chance of hail,WEATHER TODAY WHAT 20 PERCENT HAIL
Today the weather is a 75% chance of clouds,WEATHER TODAY WHAT 75 PERCENT CLOUDY
What is the weather today,TODAY WEATHER WHAT
What is the weather tomorrow,TOMORROW WEATHER WHAT
What is the weather Saturday,SATURDAY WEATHER WHAT
Tomorrow in Colorado it will be 2 degrees with snow,TOMORROW COLORADO SNOW 2 DEGREES
I love pianos,ME LOVE PIANOS
I hate to type,ME HATE TYPE
I dislike airplanes,ME DISLIKE AIRPLANES
I dislike to drink,ME DISLIKE DRINK
Your name is XXXXX,YOUR NAME XXXXX
I dislike milk,ME DISLIKE MILK
I asked my friend what she thought about my dress but she beat around the bush with her answer,ME ASK FRIEND HER OPINION MY DRESS SHE VAGUE WON'T TELL ME TRUTH
Equality is important in the workplace,WORKPLACE EQUALITY IMPORTANT
Juneteenth celebrates freedom from slavery,JUNETEENTH CELEBRATE WHAT FREEDOM FROM SLAVERY
WHICH STATE WOULD YOU PREFER TO VISIT,STATE YOU PREFER VISIT WHICH
I like trees,ME LIKE TREES
I like baseball bats,ME LIKE BASEBALL BATS
I dislike baseball bats,ME DISLIKE BASEBALL BATS
I love baseball bats,ME LOVE BASEBALL BATS
I hate baseball bats,ME HATE BASEBALL BATS
What is your best friend's name,YOUR BEST FRIEND NAME WHAT
Independence Day is Friday July 4,INDEPENDENCE DAY WHEN FRIDAY JULY 4
I live in Florida,ME LIVE FLORIDA
I live in Florida,FLORIDA ME LIVE
I am from Indiana,ME FROM INDIANA
I am from Indiana,INDIANA ME FROM
I was born in New York,ME BORN NEW YORK
I was born in New York,NEW YORK ME BORN
Which state do you live in,WHICH STATE YOU LIVE
Which state do you live in,STATE YOU LIVE WHICH
Where are you from,WHERE YOU FROM
Where are you from,YOU FROM WHERE
Which state are you from,WHICH STATE YOU FROM
Which state are you from,STATE YOU FROM WHICH
Where were you born,WHERE YOU BORN
Where were you born,YOU BORN WHERE
My father's favorite class is math,MATH MY FATHER HIS FAVORITE CLASS
My mother's favorite class is algebra,ALGEBRA MY MOTHER HER FAVORITE CLASS
My grandfather's favorite class is geometry,GEOMETRY MY GRANDFATHER HIS FAVORITE CLASS
My grandmother's favorite class is science,SCIENCE MY GRANDMOTHER HER FAVORITE CLASS
My uncle's favorite class is biology,BIOLOGY MY UNCLE HIS FAVORITE CLASS
My aunt's favorite class is chemistry,CHEMISTRY MY AUNT HER FAVORITE CLASS
My nephew's favorite class is theater,THEATER MY NEPHEW HIS FAVORITE CLASS
My niece's favorite class is English,ENGLISH MY NIECE HER FAVORITE CLASS
My cousin's favorite class is history,HISTORY MY COUSIN HIS FAVORITE CLASS
My husband's favorite class is nursing,NURSING MY HUSBAND HIS FAVORITE CLASS
My wife's favorite class is medicine,MEDICINE MY WIFE HER FAVORITE CLASS
My son's favorite class is music,MUSIC MY SON HIS FAVORITE CLASS
My daughter's favorite class is law,LAW MY DAUGHTER HER FAVORITE CLASS
My brother's favorite class is psychology,PSYCHOLOGY MY BROTHER HIS FAVORITE CLASS
My sister's favorite class is social work,SOCIAL WORK MY SISTER HER FAVORITE CLASS
My boyfriend's favorite class is education,EDUCATION MY BOYFRIEND HIS FAVORITE CLASS
My girlfriend's favorite class is art,ART MY GIRLFRIEND HER FAVORITE CLASS
My friend's favorite class is business,BUSINESS MY FRIEND THEIR FAVORITE CLASS
My good friend's favorite class is interpreting,INTERPRETING MY GOOD FRIEND THEIR FAVORITE CLASS
My best friend's favorite class is religion,RELIGION MY BEST FRIEND THEIR FAVORITE CLASS
My teacher's favorite class is engineering,ENGINEERING MY TEACHER THEIR FAVORITE CLASS
My favorite class is plumbing,PLUMBING MY FAVORITE CLASS
Your favorite class is auto mechanics,AUTO MECHANICS YOUR FAVORITE CLASS
My cousin's favorite class is hair styling,HAIR STYLING MY COUSIN HIS FAVORITE CLASS
I have 1 cat,1 CAT ME HAVE
I have 2 dogs,2 DOGS ME HAVE
I have 3 horses,3 HORSES ME HAVE
I have 4 cows,4 COWS ME HAVE
I have 5 pigs,5 PIGS ME HAVE
I have 6 mice,6 MICE ME HAVE
I have 7 snakes,7 SNAKES ME HAVE
I have 8 rabbits,8 RABBITS ME HAVE
I have 9 spiders,9 SPIDERS ME HAVE
I hate monkeys,MONKEYS ME HATE
I love elephants,ELEPHANTS ME LOVE
I like lions,LIONS ME LIKE
I dislike tigers,TIGERS ME DISLIKE
I am afraid of giraffes,GIRAFFES ME AFRAID
I hate deer,DEER ME HATE
I love bears,BEARS ME LOVE
I like squirrels,SQUIRRELS ME LIKE
I dislike butterflies,BUTTERFLIES ME DISLIKE
I am afraid of ducks,DUCKS ME AFRAID
I hate mosquitoes,MOSQUITOES ME HATE
My sister's favorite holiday is Hanukkah,HANUKKAH MY SISTER HER FAVORITE HOLIDAY
Veteran's Day is Wednesday November 11,VETERAN'S DAY WHEN WEDNESDAY NOVEMBER 11
The weather is hot today,TODAY WEATHER HOT
The weather is warm today,TODAY WEATHER WARM
The weather is cold today,TODAY WEATHER COLD
The weather is cool today,TODAY WEATHER COOL
Today the weather is sunny,WEATHER TODAY WHAT SUNNY
Today the weather is cloudy,WEATHER TODAY WHAT CLOUDY
Today the weather is windy,WEATHER TODAY WHAT WINDY
Today the weather is rainy,WEATHER TODAY WHAT RAINY
Today the weather is snowy,WEATHER TODAY WHAT SNOWY
What is the weather today,TODAY WEATHER WHAT
What is the weather today,WEATHER TODAY WHAT
What is the weather tomorrow,WEATHER TOMORROW WHAT
Today's weather forecast is fog,TODAY WEATHER FORECAST FOG
Today's weather forecast is thunder,TODAY WEATHER FORECAST THUNDER
Today's weather forecast is lightning,TODAY WEATHER FORECAST LIGHTNING
Today's weather forecast is a tornado,TODAY WEATHER FORECAST TORNADO
Today's weather forecast is a hurricane,TODAY WEATHER FORECAST HURRICANE
Today's weather forecast is a blizzard,TODAY WEATHER FORECAST BLIZZARD
Today's weather forecast is a flood,TODAY WEATHER FORECAST FLOOD
Today's weather forecast is freezing rain,TODAY WEATHER FORECAST FREEZING RAIN
Today the weather is a 85% chance of freezing rain,WEATHER TODAY WHAT 85 PERCENT FREEZING RAIN
Georgia is in the south,GEORGIA WHERE SOUTH
My mother lives in Georgia,MY MOTHER LIVE WHERE GEORGIA
My father was born in Kentucky,MY FATHER BORN WHERE KENTUCKY
My brother died in Louisiana,MY BROTHER DIED WHERE LOUISIANA
My sister is from Maryland,MY SISTER FROM WHERE MARYLAND
My grandmother was married in Missouri,MY GRANDMOTHER MARRIED WHERE MISSOURI
My grandfather went to New Hampshire,MY GRANDFATHER WENT WHERE NEW HAMPSHIRE
My aunt lives in New Jersey,MY AUNT LIVE WHERE NEW JERSEY
My uncle was born in New Mexico,MY UNCLE BORN WHERE NEW MEXICO
My cousin died in North Carolina,MY COUSIN DIED WHERE NORTH CAROLINA
My friend is from North Dakota,MY FRIEND FROM WHERE NORTH DAKOTA
My mother was married in Pennsylvania,MY MOTHER MARRIED WHERE PENNSYLVANIA
My father went to Rhode Island,MY FATHER WENT WHERE RHODE ISLAND
My brother lives in South Carolina,MY BROTHER LIVE WHERE SOUTH CAROLINA
My sister was born in South Dakota,MY SISTER BORN WHERE SOUTH DAKOTA
My grandmother died in Vermont,MY GRANDMOTHER DIED WHERE VERMONT
My grandfather is from Virginia,MY GRANDFATHER FROM WHERE VIRGINIA
My aunt was married in Alabama,MY AUNT MARRIED WHERE ALABAMA
My uncle went to Arkansas,MY UNCLE WENT WHERE ARKANSAS
My cousin lives in Delaware,MY COUSIN LIVE WHERE DELAWARE
My friend was born in Florida,MY FRIEND BORN WHERE FLORIDA
My mother died in Illinois,MY MOTHER DIED WHERE ILLINOIS
My father is from Indiana,MY FATHER FROM WHERE INDIANA
My brother was married in Kansas,MY BROTHER MARRIED WHERE KANSAS
My sister went to Nebraska,MY SISTER WENT WHERE NEBRASKA
My grandmother lives in Nevada,MY GRANDMOTHER LIVE WHERE NEVADA
My grandfather was born in Wisconsin,MY GRANDFATHER BORN WHERE WISCONSIN
My aunt died in Wyoming,MY AUNT DIED WHERE WYOMING
My uncle is from Connecticut,MY UNCLE FROM WHERE CONNECTICUT
My cousin was married in Massachusetts,MY COUSIN MARRIED WHERE MASSACHUSETTS
My friend went to Michigan,MY FRIEND WENT WHERE MICHIGAN
My mother lives in Minnesota,MY MOTHER LIVE WHERE MINNESOTA
My father was born in Mississippi,MY FATHER BORN WHERE MISSISSIPPI
My brother died in Oklahoma,MY BROTHER DIED WHERE OKLAHOMA
My sister is from Tennessee,MY SISTER FROM WHERE TENNESSEE
My grandmother was married in Idaho,MY GRANDMOTHER MARRIED WHERE IDAHO
My grandfather went to Iowa,MY GRANDFATHER WENT WHERE IOWA
My aunt lives in Maine,MY AUNT LIVE WHERE MAINE
My uncle was born in Montana,MY UNCLE BORN WHERE MONTANA
My cousin died in Ohio,MY COUSIN DIED WHERE OHIO
My friend is from Oregon,MY FRIEND FROM WHERE OREGON
My mother was married in Utah,MY MOTHER MARRIED WHERE UTAH
My father went to Alaska,MY FATHER WENT WHERE ALASKA
My brother lives in Arizona,MY BROTHER LIVE WHERE ARIZONA
My sister was born in California,MY SISTER BORN WHERE CALIFORNIA
My grandmother died in Colorado,MY GRANDMOTHER DIED WHERE COLORADO
My grandfather is from Hawaii,MY GRANDFATHER FROM WHERE HAWAII
My aunt was married in New York,MY AUNT MARRIED WHERE NEW YORK
My uncle went to Texas,MY UNCLE WENT WHERE TEXAS
My cousin lives in Washington,MY COUSIN LIVE WHERE WASHINGTON
My friend was born in West Virginia,MY FRIEND BORN WHERE WEST VIRGINIA
Minnesota is in the north,MINNESOTA WHERE NORTH
New York is in the east,NEW YORK WHERE EAST
California is in the west,CALIFORNIA WHERE WEST
Alabama is in the south,ALABAMA WHERE SOUTH
Georgia is in the south,GEORGIA WHERE SOUTH
Michigan is in the north,MICHIGAN WHERE NORTH
Rhode Island is in the east,RHODE ISLAND WHERE EAST
Wyoming is in the west,WYOMING WHERE WEST
Wyoming is in the west,WYOMING WHERE WEST
What clothes do you have,CLOTHES YOU HAVE WHAT
What color is the animal,ANIMAL COLOR WHAT
The frog is green,FROG COLOR WHAT GREEN
The whale is blue,WHALE COLOR WHAT BLUE
The baby duck is yellow,BABY DUCK COLOR WHAT YELLOW
The butterfly is purple,BUTTERFLY COLOR WHAT PURPLE
The squirrel is red,SQUIRREL COLOR WHAT RED
The pig is pink,PIG COLOR WHAT PINK
The tiger is orange,TIGER COLOR WHAT ORANGE
The cow is brown,COW COLOR WHAT BROWN
The deer is tan,DEER COLOR WHAT TAN
The horse is white,HORSE COLOR WHAT WHITE
The cat is black,CAT COLOR WHAT BLACK
The mouse is gray,MOUSE COLOR WHAT GRAY
The lion is gold,LION COLOR WHAT GOLD
The snake is silver,SNAKE COLOR WHAT SILVER
I love whales,WHALES ME LOVE
I like frogs,FROGS ME LIKE
Juneteenth is Tuesday June 19,JUNETEENTH WHEN TUESDAY JUNE 19
Happy Pride Month,HAPPY PRIDE MONTH
You are named what,YOU NAME
Are you Deaf,DEAF YOU
Are you a student,STUDENT YOU
Do you understand him,YOU UNDERSTAND HE
Do you understand her,YOU UNDERSTAND SHE
Who is he,WHO HE
Who is she,WHO SHE
It is nice to meet you,NICE MEET-you
Are you a hearing person,HEARING YOU
Are you a teacher,ASL TEACHER YOU
Where are you learning sign,YOU LEARN SIGN WHERE
Why are you learning sign,YOU LEARN SIGN WHY
Are they learning sign language,THEY LEARN SIGN
Who is your teacher,YOUR TEACHER WHO
Do you like learning sign language,YOU LIKE LEARN SIGN
Hello what's your name,HELLO NAME YOU
Are you married,YOU MARRIED
Do you have children,CHILDREN YOU
How many sisters do you have,YOU SISTER HOW-MANY
Is your dad deaf,YOUR DAD DEAF
Where do you work,YOU WORK WHERE
Where do you live,YOU LIVE WHERE
Is your name XXXXX,YOU NAME XXXXX YOU
Are you divorced,YOU DIVORCED YOU
How many brothers do you have,HOW-MANY BROTHER YOU
Is your sister single,YOUR SISTER SINGLE
Spell your dad's name slowly,YOUR DAD NAME SPELL SLOW
Do you have a sister,YOU HAVE SISTER
What is your name,NAME YOU
What city do you live in,CITY YOU LIVE
Do you like learning sign,YOU LIKE LEARN SIGN
Is your house big,YOUR HOUSE BIG
How many children do you have,YOU CHILDREN HOW-MANY
How many bathrooms do you have in your house,YOUR HOUSE BATHROOM HOW-MANY
Where do you work,YOU WORK WHERE
Do you like your work,YOU LIKE YOUR WORK
Do you think I sign well,YOU THINK ME SIGN GOOD
Where are you from,FROM WHERE YOU
Do you live here,YOU LIVE HERE
Is anyone in your family deaf,FAMILY DEAF
Is your house small,YOUR HOUSE SMALL
Do you go to school,YOU GO SCHOOL YOU
What is your favorite color,YOUR FAVORITE COLOR WHAT
Do you like the color brown,YOU LIKE COLOR BROWN
Do you draw well,YOU DRAW GOOD
Are your parents divorced,YOUR PARENTS DIVORCE
Is your chair green,YOUR CHAIR GREEN
How old are you,how-OLD YOU
In what city do you live,CITY YOU LIVE
Do you want to go home now,YOU WANT GO HOME NOW
What color is your paper,YOUR PAPER WHAT COLOR
Have you ever lived in a big city,YOU LIVE BIG CITY PAST YOU
Do you like red cars,YOU LIKE RED CAR
Are you going to school tomorrow,TOMORROW YOU GO SCHOOL
How many years have you lived here,YOU LIVE HERE HOW-MANY YEAR
What type of candy do you like,CANDY YOU LIKE WHAT-KIND
What type of cereal do you like,CEREAL YOU LIKE WHAT-KIND
Do you like cookies and milk,YOU LIKE COOKIES WITH MILK
How many cups of water do you drink daily,WATER YOU DRINK EVERYDAY CUP HOW-MANY YOU
What is your favorite food,YOUR FAVORITE FOOD WHAT
Are you hungry,HUNGRY YOU
What type of pizza do you like,PIZZA YOU LIKE WHAT-KIND
What kind of soup do you like,SOUP YOU LIKE WHAT-KIND
Do you like to eat red apples,APPLE RED YOU LIKE EAT
What kind of cookies do you like,COOKIE YOU LIKE WHAT-KIND
Does your sister like eggs,YOUR SISTER LIKE EGG
Don't you like candy,YOU DON'T-LIKE CANDY
What color is your belt,YOUR BELT COLOR
When do you change clothes,YOU CHANGE CLOTHES WHEN
What color is a doctor's XXXXX coat,DOCTOR XXXXX COAT COLOR
Where should we put dirty clothes,CLOTHES DIRTY SHOULD PUT WHERE
Who in this room has glasses,WHO THIS ROOM HAVE GLASSES
Who has a hearing aid,HEARING-AID WHO HAVE
Do you like doing laundry,YOU LIKE WASHING-MACHINE CLOTHES
What color is your shirt,YOUR SHIRT what-COLOR
How many pairs of shoes do you have,SHOES YOU HAVE HOW-MANY
What color are your socks,YOUR SOCKS what-COLOR
Do you live in a basement apartment,YOU LIVE BASEMENT APT
What color is your couch,YOUR COUCH what-COLOR
What color is that table,THAT TABLE COLOR
What kind of toothpaste do you use,WHAT-KIND TOOTHPASTE YOU
Would you rather cook using a stove or a microwave,YOU PREFER STOVE MICROWAVE WHICH
What color is your fridge,YOUR REFRIGERATOR WHAT COLOR
Have you ever been in an ambulance,AMBULANCE BEFORE YOU
Is there a window in your bedroom,YOUR BEDROOM HAVE WINDOW
How many bathrooms are there in your house,YOUR HOUSE HOW-MANY BATHROOM
Do cats like to eat birds,CAT LIKE EAT BIRD
What type of books do you like to read,BOOK YOU LIKE READ WHAT-KIND
Do fish like to eat bugs,FISH LIKE EAT BUG
Have you ever taken an XXXXX class,XXXXX CLASS YOU PAST TAKE
Do you want a horse,HORSE YOU WANT
Is your sister fat,YOUR SISTER FAT
Do you like to fool people,YOU LIKE FOOL PEOPLE
What color is your brother's hair,YOUR BROTHER HAIR COLOR
Is your dad short,YOUR DAD SHORT
Is your grandpa skinny,YOUR GRANDPA SKINNY
Are old people weak,OLD PEOPLE WEAK
How many girls in this class have straight hair,GIRL THIS CLASS STRAIGHT HAIR HOW-MANY
Are most farmers strong,MOST FARMER STRONG
How tall are you,YOU HOW-TALL
Does your dad have blue eyes,YOUR DAD EYES BLUE
Do you think my shoes are ugly,MY SHOES YOU THINK UGLY
Do you ride the bus to school,BUS YOU RIDE-IN SCHOOL YOU
How often do you go to the dentist,YOU GO DENTIST HOW OFTEN
How many jobs have you applied for previously,JOB YOU APPLY BEFORE HOW-MANY
How often do you get your haircut,YOU HAIRCUT HOW OFTEN
Why are most postal employees thin,MOST POST-OFFICE WORKER THIN WHY
Who is your supervisor,YOUR SUPERVISOR WHO
Why do bosses fire employees,BOSS FIRE WORKER WHY
What do you enjoy doing,YOU ENJOY what-DO
Do you like to dance,YOU LIKE DANCE
Do you like to fish,YOU LIKE FISHING
Do you wish you were an attorney,YOU WISH your-SELF LAWYER
Does your church send out missionaries,YOUR CHURCH SEND MISSIONARY
Was your dad in the Army,YOUR DAD ARMY BEFORE
Does your house need painting,YOUR HOUSE NEED PAINT
How many pages is your resume,YOUR RESUME HOW-MANY PAGE
Can you run your own business,CAN YOU MANAGE YOUR-SELF BUSINESS
Have you registered for school next year,next-YEAR SCHOOL REGISTER FINISH YOU
What is your worst class,YOUR WORST CLASS WHAT
Does it have to be dark for you to sleep,FOR YOU SLEEP MUST DARK
Do you like gardening,YOU LIKE PLANT
What do you not care about,TOPIC YOU DON'T CARE WHAT
When did you start learning how to sign,YOU START LEARN LEARN SIGN WHEN
Do you keep wet wipes in your car,WET-WIPES YOU KEEP CAR
If your dog gets sick do you take it to the veterinarian,SUPPOSE YOUR DOG SICK YOU CARRY VET
Have you met my brother,You-MEET MY BROTHER YOU
Is this yours,THIS YOUR
Who is he,HE WHO
Do you want more children,WANT MORE CHILDREN YOU
Do you need to go to the bathroom,YOU NEED BATHROOM
Do you think I sign bad,YOU THINK ME SIGN BAD
Name something that is black and white,NAME SOMETHING ITSELF BLACK WHITE
Have you seen the movie XXXXX,YOU FINISH WATCH MOVIE XXXXX
Do you think that someday you will teach ASL,YOU THINK FUTURE YOU TEACH ASL
When did you move,YOU MOVE WHEN
Do you like to eat green apples,APPLE GREEN YOU LIKE EAT
Do you like eggs and ham,EGG AND XXXXX YOU LIKE YOU
Are you full,YOU FULL
Do you like to eat popcorn at the movies,SUPPOSE YOU GO MOVIE YOU LIKE EAT POPCORN
Do you like to eat popcorn,YOU LIKE EAT POPCORN
Do you have a backpack,BACKPACK YOU HAVE
Does your backpack have a zipper,YOUR BACKPACK HAVE ZIP
Which do you prefer taking a bath or taking a shower,BATH SHOWER YOU PREFER WHICH
Does your bathroom have a XXXXX,YOUR BATHROOM HAVE XXXXX
Do you have a garage,GARAGE HAVE
Did you shower yesterday,YESTERDAY YOU SHOWER
What color is your XXXXX,YOUR XXXXX COLOR
How and where do we get milk,MILK WHERE FROM HOW GET
What do dogs like to chase,NAME SOMETHING DOG CHASE
Do you know the teacher's wife's name,TEACHER HIS WIFE YOU KNOW NAME
Do you have a pet,HAVE PET YOU
Do some cats like water,SOME CAT LIKE WATER
Do you look like your father,YOU LOOK-LIKE YOUR DAD
Have you ever taken a cooking class,COOK CLASS YOU PAST TAKE
What time to you go to your ASL class,YOU GO ASL CLASS what-TIME
What time to you go to your ASL class,YOU GO ASL CLASS what-TIME
Do birds like to eat fish,BIRD LIKE EAT FISH
Do horses like to eat fish,HORSE LIKE EAT FISH
Is your bedroom upstairs,YOUR BEDROOM UPSTAIRS
Do you think a cow would make a good pet,YOU THINK COW GOOD PET
What is your favorite book,YOUR FAVORITE BOOK NAME
Do you always go to class on time,YOU GO CLASS ON TIME ALWAYS
Do you have a cat and a dog,YOU HAVE DOG AND CAT YOU
Is anyone in your family deaf,ANY YOUR FAMILY DEAF
Are you going back home after class,CLASS FINISH #BACK HOME YOU
How do you feel,HOW YOU FEEL
Are you able to use the phone,PHONE CAN YOU
Name a book that you think is wonderful,BOOK YOU THINK WONDERFUL NAME
Is your bedroom a little bit dirty,YOUR BEDROOM DIRTY LITTLE-BIT
Do you know how to make soup,SOUP YOU KNOW HOW MAKE
You never eat candy,YOU NEVER EAT CANDY YOU
Do you have a new car,NEW CAR HAVE YOU
Would you rather have pizza or a hamburger,YOU PREFER PIZZA OR HAMBURGER
Do you like to meet new people,YOU LIKE MEET NEW PEOPLE YOU
When do you feel anxious,YOU FEEL ANXIOUS WHEN
Do you like to chat with deaf people,YOU LIKE CHAT-WITH DEAF
What type of people do you like,WHAT-KIND PEOPLE YOU LIKE
Do you like to learn new things,LEARN NEW THING YOU LIKE
Do you work in the afternoon,AFTERNOON WORK YOU
Did you brush your teeth today,TODAY YOU FINISH BRUSH-TEETH YOU
Do you think life is fair for all people,YOU THINK LIFE FAIR ALL PEOPLE
Do you shower everyday,EVERYDAY YOU SHOWER
How many hours are in a day,HOW-MANY HOUR EQUAL ONE DAY
How many minutes are in an hour,HOW-MANY MINUTE EQUAL ONE HOUR
How many days are in a month,HOW-MANY DAY EQUAL ONE MONTH
How many months are in a year,HOW-MANY MONTH EQUAL ONE YEAR
Do you like Mondays,YOU LIKE MONDAY
Why are Tuesday nights a good time to go to the movies,MOVIE GO TUESDAY NIGHT GOOD WHY
How many days are in a week,ONE WEEK HAVE HOW-MANY DAYS
Which days are you in school,YOU SCHOOL WHICH DAY
On which day do people go to church,PEOPLE GO CHURCH WHICH DAY
What did you do last weekend,PAST WEEKEND WHAT-DO YOU
How many times did you eat yesterday,YESTERDAY HOW-MANY TIME YOU EAT
Are you coming to school next week,NEXT-WEEK YOU COME SCHOOL
Do you like to read research articles,RESEARCH ARTICLE YOU LIKE READ
Did your dad go to college,YOUR DAD COLLEGE
When did you graduate high school,HIGH-SCHOOL YOU GRADUATE WHEN
Do you think this class is hard,YOU THINK THIS CLASS HARD
Do you like TRUE FALSE tests,TRUE FALSE TEST YOU LIKE
Do you like to write research papers,RESEARCH PAPER YOU LIKE WRITE
Do you have a list of interpreters,INTERPRETER LIST YOU HAVE
When will you graduate from college,COLLEGE YOU GRADUATE WHEN
Do you think this class is easy,YOU THINK THIS CLASS EASY
Did you attend a school for the Deaf,DEAF-SCHOOL YOU
Do you like cold weather,COLD WEATHER YOU LIKE
What time do you wake up during summer vacation,SUMMER VACATION YOU WAKE UP what-TIME
